OpenJPA 2,3,0 openjpa land;;;;;OpenJPA 2,4,1 openjpa land;;;;;diff;Diff (%)
org,apache,openjpa,jdbc,sql,SelectImpl,access$200(org,apache,openjpa,jdbc,sql,SelectImpl);50;8690;;;org,apache,openjpa,jdbc,sql,SelectImpl,access$200(org,apache,openjpa,jdbc,sql,SelectImpl);50;9086;;0;396;4,3583535109
org,apache,openjpa,kernel,StateManagerImpl,getMetaData();50;5531;;;org,apache,openjpa,kernel,StateManagerImpl,getMetaData();50;2765;;0;-2766;-100,0361663653
org,apache,openjpa,kernel,ResultShape,isPrimitive();50;6320;;;org,apache,openjpa,kernel,ResultShape,isPrimitive();50;2766;;0;-3554;-128,4887924801
org,apache,openjpa,jdbc,sql,AbstractResult,endDataRequest();50;5926;;;org,apache,openjpa,jdbc,sql,AbstractResult,endDataRequest();50;6320;;0;394;6,2341772152
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getEager(org,apache,openjpa,jdbc,meta,FieldMapping);50;110617;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getEager(org,apache,openjpa,jdbc,meta,FieldMapping);50;56102;;0;-54515;-97,1712238423
org,apache,openjpa,jdbc,sql,AbstractResult,startDataRequest(java,lang,Object);50;4345;;;org,apache,openjpa,jdbc,sql,AbstractResult,startDataRequest(java,lang,Object);50;5925;;0;1580;26,6666666667
org,apache,openjpa,jdbc,meta,ClassMapping,getDiscriminator();45;5925;;;org,apache,openjpa,jdbc,meta,ClassMapping,getDiscriminator();45;6717;;0;792;11,7909781152
org,apache,openjpa,kernel,PCState,isNew();40;3160;;;org,apache,openjpa,kernel,PCState,isNew();40;4740;;0;1580;33,3333333333
org,apache,openjpa,kernel,StateManagerImpl,isNew();40;20541;;;org,apache,openjpa,kernel,StateManagerImpl,isNew();40;17777;;0;-2764;-15,5481802329
org,apache,openjpa,kernel,StateManagerImpl,setLoading(boolean);40;6323;;;org,apache,openjpa,kernel,StateManagerImpl,setLoading(boolean);40;3950;;0;-2373;-60,0759493671
org,apache,commons,collections,map,AbstractReferenceMap,purge();36;4742;;;org,apache,commons,collections,map,AbstractReferenceMap,purge();36;5926;;0;1184;19,9797502531
org,apache,openjpa,jdbc,meta,ClassMapping,getJoinablePCSuperclassMapping();33;17778;;;org,apache,openjpa,jdbc,meta,ClassMapping,getJoinablePCSuperclassMapping();33;18568;;0;790;4,2546316243
org,apache,openjpa,jdbc,meta,ClassMapping,getMappedPCSuperclassMapping();33;5530;;;org,apache,openjpa,jdbc,meta,ClassMapping,getMappedPCSuperclassMapping();33;4741;;0;-789;-16,6420586374
org,apache,commons,collections,map,AbstractHashedMap,convertKey(java,lang,Object);32;2767;;;org,apache,commons,collections,map,AbstractHashedMap,convertKey(java,lang,Object);32;5135;;0;2368;46,1148977605
org,apache,commons,collections,map,AbstractHashedMap,hash(java,lang,Object);32;35165;;;org,apache,commons,collections,map,AbstractHashedMap,hash(java,lang,Object);32;31210;;0;-3955;-12,6722204422
org,apache,commons,collections,map,AbstractHashedMap,hashIndex(int,int);32;1975;;;org,apache,commons,collections,map,AbstractHashedMap,hashIndex(int,int);32;3161;;0;1186;37,519772224
org,apache,openjpa,jdbc,meta,ValueMappingImpl,getColumns();31;3951;;;org,apache,openjpa,jdbc,meta,ValueMappingImpl,getColumns();31;3162;;0;-789;-24,9525616698
org,apache,openjpa,jdbc,meta,FieldMapping,getColumns();31;20148;;;org,apache,openjpa,jdbc,meta,FieldMapping,getColumns();31;19359;;0;-789;-4,0756237409
org,apache,openjpa,kernel,StateManagerImpl,unlock();30;4741;;;org,apache,openjpa,kernel,StateManagerImpl,unlock();30;4347;;0;-394;-9,0637221072
org,apache,openjpa,util,OpenJPAId,hashCode();30;17386;;;org,apache,openjpa,util,OpenJPAId,hashCode();30;20542;;0;3156;15,3636452147
org,apache,openjpa,jdbc,sql,AbstractResult,getBaseMapping();30;3950;;;org,apache,openjpa,jdbc,sql,AbstractResult,getBaseMapping();30;2765;;0;-1185;-42,8571428571
org,apache,openjpa,util,LongId,idHash();30;1976;;;org,apache,openjpa,util,LongId,idHash();30;4346;;0;2370;54,5329038196
org,apache,openjpa,kernel,StateManagerImpl,isIntercepting();30;11062;;;org,apache,openjpa,kernel,StateManagerImpl,isIntercepting();30;11851;;0;789;6,6576660197
org,apache,openjpa,jdbc,sql,SelectImpl,access$700(org,apache,openjpa,jdbc,sql,SelectImpl);30;9482;;;org,apache,openjpa,jdbc,sql,SelectImpl,access$700(org,apache,openjpa,jdbc,sql,SelectImpl);30;4345;;0;-5137;-118,2278481013
org,apache,openjpa,kernel,StateManagerImpl,clearFlushField(int);30;3556;;;org,apache,openjpa,kernel,StateManagerImpl,clearFlushField(int);30;1185;;0;-2371;-200,0843881857
org,apache,openjpa,kernel,ResultShape,length();30;12643;;;org,apache,openjpa,kernel,ResultShape,length();30;10667;;0;-1976;-18,5244211118
org,apache,openjpa,kernel,StateManagerImpl,clearDirty(int);30;2766;;;org,apache,openjpa,kernel,StateManagerImpl,clearDirty(int);30;3951;;0;1185;29,9924069856
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getJoins(org,apache,openjpa,jdbc,sql,Joins);30;196347;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getJoins(org,apache,openjpa,jdbc,sql,Joins);30;77825;;0;-118522;-152,2929649855
org,apache,openjpa,kernel,PCState,isDeleted();30;3555;;;org,apache,openjpa,kernel,PCState,isDeleted();30;1580;;0;-1975;-125
org,apache,openjpa,kernel,StateManagerImpl,lock();30;3950;;;org,apache,openjpa,kernel,StateManagerImpl,lock();30;4345;;0;395;9,0909090909
org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getPreJoins();30;174619;;;org,apache,openjpa,jdbc,sql,SelectImpl$SelectResult,getPreJoins();30;60445;;0;-114174;-188,8890727107
org,apache,openjpa,kernel,StateManagerImpl,isEmbedded();30;5136;;;org,apache,openjpa,kernel,StateManagerImpl,isEmbedded();30;3951;;0;-1185;-29,9924069856
org,apache,openjpa,jdbc,meta,FieldMapping,assertStrategy();25;2371;;;org,apache,openjpa,jdbc,meta,FieldMapping,assertStrategy();25;5137;;0;2766;53,8446564142
org,apache,openjpa,jdbc,schema,Column,getType();24;5136;;;org,apache,openjpa,jdbc,schema,Column,getType();24;3556;;0;-1580;-44,4319460067
